"city","city_ibge_code","date","epidemiological_week","estimated_population","estimated_population_2019","is_last","is_repeated","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","order_for_place","place_type","state","new_confirmed","new_deaths"
"Laranjal do Jari",1600279,2020-04-22,17,51362,50410,FALSE,FALSE,12,23.36358,2020-04-22,0,0,8,"city","AP",4,0
"Macapá",1600303,2020-04-22,17,512902,503327,FALSE,FALSE,405,78.96245,2020-04-22,0.0296,12,34,"city","AP",19,1
"Mazagão",1600402,2020-04-22,17,22053,21632,FALSE,FALSE,3,13.60359,2020-04-22,0,0,9,"city","AP",1,0
"Oiapoque",1600501,2020-04-22,17,27906,27270,FALSE,FALSE,6,21.50075,2020-04-22,0,0,19,"city","AP",0,0
"Porto Grande",1600535,2020-04-22,17,22452,21971,FALSE,FALSE,1,4.45395,2020-04-22,0,0,9,"city","AP",0,0
"Santana",1600600,2020-04-22,17,123096,121364,FALSE,FALSE,61,49.55482,2020-04-22,0.0328,2,18,"city","AP",0,0
"Serra do Navio",1600055,2020-04-22,17,5488,5397,FALSE,FALSE,2,36.44315,2020-04-22,0,0,1,"city","AP",2,0
"Vitória do Jari",1600808,2020-04-22,17,16254,15931,FALSE,FALSE,2,12.30466,2020-04-22,0,0,9,"city","AP",0,0
NA,16,2020-04-22,17,861773,845731,FALSE,FALSE,492,57.0916,2020-04-22,0.0285,14,34,"state","AP",26,1
"Laranjal do Jari",1600279,2020-04-23,17,51362,50410,FALSE,FALSE,15,29.20447,2020-04-23,0,0,9,"city","AP",3,0
"Macapá",1600303,2020-04-23,17,512902,503327,FALSE,FALSE,451,87.93103,2020-04-23,0.031,14,35,"city","AP",46,2
"Mazagão",1600402,2020-04-23,17,22053,21632,FALSE,FALSE,3,13.60359,2020-04-23,0,0,10,"city","AP",0,0
"Oiapoque",1600501,2020-04-23,17,27906,27270,FALSE,FALSE,6,21.50075,2020-04-23,0,0,20,"city","AP",0,0
"Pedra Branca do Amapari",1600154,2020-04-23,17,17067,16502,FALSE,FALSE,1,5.85926,2020-04-23,0,0,1,"city","AP",1,0
